Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank
103 St (1),,M,"4,290,142","4,114,291","4,072,703","3,766,055","1,470,254","1,880,611","410,357",27.90%,119
103 St (6),35,M,"4,336,922","4,402,069","4,065,523","4,039,570","1,851,275","2,112,042","260,767",14.10%,102
"103 St (B,C)",,M,"1,481,660","1,470,838","1,630,405","1,498,363","579,191","718,579","139,388",24.10%,305
110 St (6),,M,"4,196,711","3,734,660","3,394,176","3,316,061","1,468,770","1,722,459","253,689",17.30%,136
"116 St (2,3)",,M,"3,874,037","3,729,434","3,446,526","3,345,661","1,375,593","1,612,653","237,060",17.20%,145
116 St (6),,M,"5,336,694","5,066,069","4,683,148","4,572,453","2,052,609","2,341,695","289,086",14.10%,84
"116 St (B,C)",,M,"2,276,196","2,253,473","2,262,578","2,288,111","896,442","1,067,970","171,528",19.10%,227
116 St-Columbia University (1),,M,"4,797,152","4,586,341","4,528,136","4,380,469","1,316,284","1,822,117","505,833",38.40%,126
125 St (1),,M,"2,524,125","2,438,960","2,457,157","2,368,025","967,478","1,203,374","235,896",24.40%,200
"125 St (2,3)",,M,"4,989,981","5,054,479","4,727,671","4,644,262","1,848,803","2,121,918","273,115",14.80%,100
"125 St (4,5,6)",,M,"9,431,163","9,088,393","8,630,430","8,554,857","3,587,673","3,772,990","185,317",5.20%,39
"125 St (A,B,C,D)",,M,"9,603,878","9,335,382","9,037,343","9,208,598","3,863,203","4,353,615","490,412",12.70%,30
"135 St (2,3)",,M,"4,867,017","4,768,474","4,506,259","4,268,823","1,867,402","2,048,382","180,980",9.70%,105
"135 St (B,C)",,M,"1,731,460","1,743,984","1,622,552","1,743,921","667,495","753,875","86,380",12.90%,295
137 St-City College (1),,M,"4,564,432","4,440,108","4,260,166","3,874,783","1,717,440","1,941,779","224,339",13.10%,116
"14 St (A,C,E)/8 Av (L)",,M,"14,572,075","14,153,266","14,324,670","14,239,275","4,463,227","6,144,808","1,681,581",37.70%,18
"14 St (F,M,1,2,3)/6 Av (L)",,M,"16,118,952","15,187,056","15,002,214","14,736,035","5,057,029","6,306,914","1,249,885",24.70%,15
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",,M,"34,289,822","34,557,551","33,124,407","32,385,260","10,830,712","13,165,975","2,335,263",21.60%,4
145 St (1),,M,"3,328,994","3,208,921","3,062,446","2,936,613","1,264,852","1,559,488","294,636",23.30%,155
145 St (3),36,M,"1,086,105","1,093,045","635,413","954,825","438,388","506,217","67,829",15.50%,360
"145 St (A,B,C,D)",,M,"7,949,593","7,714,122","7,434,662","7,464,653","3,111,334","3,468,964","357,630",11.50%,47
"155 St (B,D)",,M,"1,308,981","1,212,240","1,115,948","1,123,868","546,625","581,704","35,079",6.40%,340
155 St (C),,M,"881,431","887,427","1,001,262","895,036","367,255","415,142","47,887",13.00%,384
157 St (1),,M,"3,542,519","3,488,053","3,514,522","3,739,786","1,414,356","1,715,878","301,522",21.30%,137
163 St-Amsterdam Av (C),37,M,"1,450,668","1,437,340","548,092","1,390,312","617,596","679,641","62,045",10.00%,314
"168 St (A,C,1)",38,M,"8,217,661","7,945,871","8,150,537","6,156,288","3,265,733","4,029,229","763,496",23.40%,35
175 St (A),,M,"4,049,645","4,112,450","3,879,652","4,182,625","1,665,946","1,995,451","329,505",19.80%,111
18 St (1),,M,"2,687,128","2,594,336","2,683,235","2,649,616","803,924","961,311","157,387",19.60%,247
181 St (1),39,M,"3,772,385","3,742,446","3,605,435","3,523,536","1,682,772","115,142","-1,567,630",-93.20%,418
181 St (A),,M,"3,459,170","3,453,621","3,368,097","3,404,841","1,364,548","2,009,705","645,157",47.30%,110
190 St (A),,M,"1,460,194","1,494,996","1,423,142","1,535,450","562,043","476,475","-85,568",-15.20%,364
191 St (1),40,M,"2,730,419","2,657,964","2,526,932","2,333,160","453,577","1,439,161","985,584",217.30%,169
2 Av (F),,M,"5,772,537","5,372,036","5,034,358","5,583,944","1,846,978","2,557,592","710,614",38.50%,75
207 St (1),,M,"2,148,169","2,097,830","2,020,214","1,853,146","892,067","998,062","105,995",11.90%,239
215 St (1),,M,"636,441","617,727","553,050","527,505","212,402","274,527","62,125",29.20%,405
23 St (1),,M,"4,703,374","4,557,216","4,853,909","4,627,755","1,566,363","1,843,351","276,988",17.70%,123
23 St (6),,M,"8,539,378","8,265,227","9,035,498","8,659,806","2,677,996","2,985,473","307,477",11.50%,60
"23 St (C,E)",,M,"7,543,246","7,410,618","7,420,152","7,272,610","2,341,259","2,932,938","591,679",25.30%,62
"23 St (F,M)",41,M,"8,989,195","8,636,801","5,099,809","8,619,473","3,100,291","3,240,722","140,431",4.50%,52
"23 St (R,W)",,M,"8,151,328","7,651,650","8,155,834","7,085,694","2,020,698","2,468,679","447,981",22.20%,79
28 St (1),,M,"4,544,976","4,348,170","4,444,072","4,493,352","1,367,598","1,582,275","214,677",15.70%,151
28 St (6),42,M,"7,161,164","6,836,061","3,525,030","5,834,989","2,230,478","2,553,865","323,387",14.50%,76
"28 St (R,W)",,M,"4,205,109","4,065,263","4,445,982","4,018,310","1,197,468","1,435,457","237,989",19.90%,170
3 Av (L),,M,"2,449,392","2,319,152","2,204,834","1,700,456","742,241","1,119,803","377,562",50.90%,213
33 St (6),,M,"9,577,123","8,916,102","9,530,273","8,934,900","3,078,482","3,655,767","577,285",18.80%,43
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",,M,"39,000,352","39,672,507","39,111,312","39,385,436","12,826,841","15,037,793","2,210,952",17.20%,2
34 St-Hudson Yards (7),,M,"2,691,851","3,098,699","3,189,867","6,108,384","2,092,769","2,811,015","718,246",34.30%,65
"34 St-Penn Station (1,2,3)",,M,"27,741,367","26,034,238","25,968,950","25,967,676","8,103,809","8,935,671","831,862",10.30%,10
"34 St-Penn Station (A,C,E)",,M,"25,183,869","24,366,500","24,857,456","25,631,364","8,010,472","9,855,288","1,844,816",23.00%,5
"47-50 Sts-Rockefeller Center (B,D,F,M)",,M,"18,086,203","17,471,620","17,289,384","18,604,810","5,826,100","6,110,395","284,295",4.90%,19
"49 St (N,R,W)",,M,"8,754,627","8,626,669","8,394,862","7,410,041","1,985,474","2,653,104","667,630",33.60%,70
"5 Av-53 St (E,M)",,M,"7,240,517","7,111,270","7,748,504","7,684,091","2,076,871","2,328,956","252,085",12.10%,85
"5 Av-59 St (N,R,W)",,M,"5,929,715","5,367,130","5,136,918","4,995,128","1,672,584","2,137,582","464,998",27.80%,97
50 St (1),,M,"8,157,242","7,751,756","8,088,925","8,134,360","2,213,137","2,481,176","268,039",12.10%,77
"50 St (C,E)",,M,"6,778,797","6,694,422","6,441,984","6,902,595","2,002,813","2,714,329","711,516",35.50%,67
57 St (F),43,M,"4,821,309","4,557,372","2,254,820","4,550,216","1,491,039","1,775,855","284,816",19.10%,129
"57 St-7 Av (N,Q,R,W)",,M,"9,616,547","11,300,097","11,978,164","11,012,550","3,474,824","4,099,554","624,730",18.00%,32
"59 St-Columbus Circle (A,B,C,D,1)",,M,"23,203,443","22,929,203","22,991,014","23,040,650","7,618,925","9,310,678","1,691,753",22.20%,8
66 St-Lincoln Center (1),,M,"7,606,975","7,002,620","7,196,026","7,068,256","2,141,714","2,479,656","337,942",15.80%,78
68 St-Hunter College (6),,M,"10,124,694","6,998,999","6,537,270","6,699,711","2,511,235","2,987,056","475,821",18.90%,59
"7 Av (B,D,E)",,M,"5,162,589","5,105,535","5,299,531","5,508,778","1,545,234","1,757,665","212,431",13.70%,132
"72 St (1,2,3)",,M,"13,257,766","12,749,746","12,879,887","12,379,560","4,498,641","5,718,388","1,219,747",27.10%,21
"72 St (B,C)",44,M,"2,921,892","2,799,974","1,382,963","2,837,041","935,070","1,369,718","434,648",46.50%,179
72 St (Q),,M,,"8,536,209","9,068,131","9,528,891","3,752,228","4,786,684","1,034,456",27.60%,25
77 St (6),,M,"10,927,200","8,276,168","7,653,602","7,821,286","3,190,550","4,117,467","926,917",29.10%,31
79 St (1),,M,"5,371,624","5,102,655","4,990,840","4,745,863","1,678,293","2,273,868","595,575",35.50%,89
"8 St-New York University (R,W)",,M,"6,030,544","5,569,352","5,686,332","5,434,212","1,549,451","2,116,673","567,222",36.60%,101
"81 St-Museum of Natural History (B,C)",,M,"4,517,912","4,328,599","4,748,083","4,407,607","1,275,973","1,888,156","612,183",48.00%,118
86 St. (1),,M,"6,359,252","5,988,837","6,139,911","5,659,795","2,076,862","2,712,070","635,208",30.60%,68
"86 St. (4,5,6)",,M,"20,337,593","14,277,369","13,486,510","13,537,308","5,155,496","6,576,295","1,420,799",27.60%,12
"86 St. (B,C)",45,M,"3,478,317","3,177,707","1,734,366","3,232,637","1,188,684","1,548,082","359,398",30.20%,156
86 St (Q),,M,,"7,693,260","8,075,480","8,378,778","2,913,038","3,589,258","676,220",23.20%,45
"96 St (1,2,3)",,M,"12,700,397","11,948,981","11,702,401","11,628,887","4,293,386","5,381,939","1,088,553",25.40%,22
96 St (6),,M,"8,004,488","5,576,058","5,151,742","5,145,222","2,219,217","2,656,566","437,349",19.70%,69
"96 St (B,C)",,M,"3,044,779","2,887,965","2,836,643","3,038,864","1,194,638","1,478,303","283,665",23.70%,167
96 St (Q),,M,,"5,445,960","6,014,304","6,154,837","2,353,959","2,771,138","417,179",17.70%,66
Astor Place (6),,M,"5,271,496","5,245,449","5,111,358","5,502,925","1,684,189","2,127,381","443,192",26.30%,99
"Bowery (J,Z)",,M,"1,223,959","1,327,970","1,275,541","1,325,244","454,326","572,281","117,955",26.00%,341
"Bowling Green (4,5)",,M,"8,870,811","8,234,513","8,251,885","8,362,034","2,503,222","2,632,772","129,550",5.20%,71
"Broad St (J,Z)",,M,"2,064,292","2,056,754","1,967,616","2,172,223","698,480","746,314","47,834",6.80%,297
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",,M,"12,405,639","11,956,465","11,414,999","12,455,155","4,062,645","5,274,947","1,212,302",29.80%,23
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",,M,"10,059,080","9,360,484","9,060,206","9,065,146","2,710,023","3,147,136","437,113",16.10%,55
Canal St (1),,M,"1,801,063","1,756,236","1,884,371","1,984,827","560,302","633,250","72,948",13.00%,326
"Canal St (A,C,E)",,M,"5,753,945","5,932,386","6,160,037","6,403,172","1,965,245","2,243,849","278,604",14.20%,91
"Canal St (J,N,Q,R,W,Z,6)",,M,"15,274,896","16,285,516","15,995,877","15,861,864","4,881,373","6,297,364","1,415,991",29.00%,16
Cathedral Pkwy-110 St (1),,M,"4,160,302","3,947,489","4,013,259","3,703,893","1,433,586","1,917,734","484,148",33.80%,117
"Cathedral Pkwy-110 St (B,C)",46,M,"2,354,421","2,377,135","1,168,203","2,396,624","934,145","1,205,170","271,025",29.00%,197
"Central Park North-110 St (2,3)",,M,"3,147,750","2,963,206","2,823,756","2,666,985","1,060,348","1,222,250","161,902",15.30%,194
"Chambers St (1,2,3)",,M,"6,948,976","6,459,435","6,108,641","5,941,546","1,781,685","1,957,661","175,976",9.90%,113
"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt (R,W)",,M,"20,349,660","20,927,141","21,636,146","20,820,549","5,930,847","6,413,162","482,315",8.10%,14
Christopher St-Sheridan Sq (1),,M,"3,307,136","3,193,169","3,312,074","3,412,332","1,067,635","1,597,437","529,802",49.60%,150
"City Hall (R,W)",,M,"1,977,733","2,258,254","1,920,070","1,710,380","536,758","616,119","79,361",14.80%,331
"Delancey St (F)/Essex St (J,M,Z)",,M,"8,458,101","8,128,719","7,922,586","8,861,296","3,388,714","4,415,980","1,027,266",30.30%,29
Dyckman St (1),,M,"2,410,021","2,329,753","2,263,932","2,079,656","1,055,222","1,154,408","99,186",9.40%,206
Dyckman St (A),,M,"2,135,271","2,165,366","2,037,425","2,238,372","953,250","1,095,910","142,660",15.00%,219
East Broadway (F),,M,"4,752,739","4,458,909","4,216,327","4,460,330","1,622,512","2,013,700","391,188",24.10%,109
Franklin St (1),,M,"1,782,203","1,700,180","1,757,424","1,567,005","501,136","613,327","112,191",22.40%,333
"Fulton St (A,C,J,Z,2,3,4,5)",,M,"25,162,937","26,838,473","27,719,115","27,715,365","8,855,302","9,728,874","873,572",9.90%,6
"Grand Central-42 St (S,4,5,6,7)",,M,"46,121,509","44,928,488","45,207,849","45,745,700","13,162,826","14,002,142","839,316",6.40%,3
"Grand St (B,D)",,M,"7,942,505","7,653,408","7,187,070","8,024,364","2,908,017","3,676,433","768,416",26.40%,41
Harlem-148 St (3),,M,"1,220,407","1,209,846","1,232,448","1,120,454","473,937","532,571","58,634",12.40%,351
Houston St (1),,M,"4,375,993","4,326,280","4,488,886","4,496,793","1,378,640","1,509,148","130,508",9.50%,163
Inwood-207 St (A),,M,"2,904,915","2,954,523","2,796,626","3,150,731","1,260,062","1,396,591","136,529",10.80%,175
"Lexington Av (N,Q,R)/59 St (4,5,6)",,M,"21,000,635","17,888,188","16,955,204","16,760,813","6,273,480","7,397,107","1,123,627",17.90%,11
"Lexington Av-53 St (E,M)/51 St (6)",,M,"19,929,405","18,940,774","18,585,755","18,957,465","5,718,725","6,226,900","508,175",8.90%,17
"Lexington Av-63 St (F,Q)",,M,"5,033,950","6,389,408","6,506,078","6,567,634","2,441,527","3,129,478","687,951",28.20%,56
Marble Hill-225 St (1),,M,"1,777,035","1,726,646","1,686,237","1,561,844","754,010","828,832","74,822",9.90%,279
"Prince St (R,W)",,M,"5,314,922","4,990,346","5,142,727","4,342,692","1,218,279","1,864,902","646,623",53.10%,121
Rector St (1),,M,"2,805,381","2,861,772","2,764,454","2,554,523","708,206","887,375","179,169",25.30%,264
"Rector St (R,W)",,M,"2,038,348","2,213,971","2,154,295","2,014,996","594,426","674,273","79,847",13.40%,317
Roosevelt Island (F),,M,"2,110,471","2,361,627","2,269,432","2,380,764","893,253","1,230,617","337,364",37.80%,193
"South Ferry (1)/Whitehall St (R,W)",,M,"9,009,136","10,205,836","10,275,268","10,272,682","3,065,053","3,600,135","535,082",17.50%,44
Spring St (6),,M,"3,792,870","3,701,740","3,654,673","3,754,272","1,123,745","1,682,203","558,458",49.70%,142
"Spring St (C,E)",,M,"3,744,702","3,637,863","3,853,792","4,423,135","1,377,863","1,762,208","384,345",27.90%,131
"Times Sq-42 St (N,Q,R,S,W,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",,M,"81,465,653","81,410,028","81,116,784","82,233,996","25,746,634","29,507,558","3,760,924",14.60%,1
"Wall St (2,3)",,M,"7,689,447","6,935,020","6,452,733","6,910,581","2,029,161","1,991,358","-37,803",-1.90%,112
"Wall St (4,5)",,M,"6,148,384","5,704,122","5,646,207","5,720,475","1,710,383","1,794,655","84,272",4.90%,128
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",,M,"13,955,067","13,849,130","13,446,383","14,063,633","4,503,429","5,833,859","1,330,430",29.50%,20
WTC Cortlandt (1) ,47,M,0,0,"1,245,455","4,232,521","1,138,815","1,280,003","141,188",12.40%,187
103 St-Corona Plaza (7),,Q,"6,504,644","6,498,237","6,319,564","6,399,657","3,311,294","4,069,292","757,998",22.90%,34
104 St (A),0,Q,"626,547","560,309","548,871","536,924","243,156","274,883","31,727",13.00%,404
"104 St (J,Z)",48,Q,"850,903","502,541","456,765","774,888","365,060","439,642","74,582",20.40%,375
111 St (7),,Q,"3,753,756","3,721,445","3,608,389","3,836,999","2,119,770","2,399,049","279,279",13.20%,83
111 St (A),49,Q,"561,857","748,813","762,641","760,163","339,066","368,997","29,931",8.80%,393
111 St (J),50,Q,"805,255","948,885","801,639","350,344","302,101","378,100","75,999",25.20%,391
"121 St (J,Z)",51,Q,"794,687","337,075","391,696","675,500","315,015","384,709","69,694",22.10%,389
169 St (F),,Q,"2,787,763","2,629,975","2,497,336","2,465,120","1,061,564","1,241,861","180,297",17.00%,191
21 St (G),,Q,"580,065","598,061","550,464","535,536","228,383","313,868","85,485",37.40%,400
21 St-Queensbridge (F),,Q,"3,009,540","3,157,675","3,340,366","3,516,992","1,355,845","1,531,006","175,161",12.90%,160
"30 Av (N,W)",52,Q,"4,694,548","3,437,709","2,373,721","5,230,182","1,767,179","2,033,898","266,719",15.10%,107
33 St-Rawson St (7),,Q,"3,636,632","3,402,610","3,031,465","2,907,388","956,400","1,032,172","75,772",7.90%,235
"36 Av (N,W)",53,Q,"2,343,925","1,677,211","1,446,827","1,933,812","845,827","980,573","134,746",15.90%,243
"36 St (M,R)",,Q,"1,355,271","1,362,430","1,513,330","1,383,420","470,766","519,938","49,172",10.40%,355
"39 Av (N,W)",54,Q,"1,016,809","979,103","665,750","761,816","382,607","425,965","43,358",11.30%,379
40 St-Lowery St (7),,Q,"3,399,567","3,261,769","3,048,104","3,074,342","1,236,614","1,539,302","302,688",24.50%,158
"46 St (M,R)",,Q,"2,904,517","2,781,811","2,711,011","2,609,445","1,052,114","1,250,697","198,583",18.90%,189
46 St-Bliss St (7),,Q,"4,541,003","4,303,987","4,058,815","4,019,044","1,769,578","2,169,169","399,591",22.60%,95
52 St (7),,Q,"2,131,770","2,027,659","1,883,246","1,907,368","847,430","1,061,804","214,374",25.30%,230
"63 Dr-Rego Park (M,R)",,Q,"5,219,811","4,991,559","4,769,745","4,753,706","1,954,647","2,319,942","365,295",18.70%,86
"65 St (M,R)",,Q,"1,183,534","1,120,703","1,129,031","1,098,148","465,309","567,622","102,313",22.00%,342
"67 Av (M,R)",,Q,"2,807,769","2,695,321","2,592,645","2,641,450","1,021,518","1,161,639","140,121",13.70%,205
69 St (7),,Q,"1,643,806","1,602,770","1,510,410","1,564,387","743,488","993,701","250,213",33.70%,241
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,Q,"17,301,839","17,095,073","16,994,358","17,077,862","7,523,538","9,437,073","1,913,535",25.40%,7
"75 Av (E,F)",,Q,"1,102,600","994,127","1,019,978","1,059,027","395,084","463,228","68,144",17.20%,368
"75 St-Elderts Ln (J,Z)",,Q,"1,187,714","1,069,608","992,267","1,029,388","516,795","616,695","99,900",19.30%,330
80 St (A),55,Q,"1,098,234","1,346,296","1,332,047","1,298,825","552,808","662,344","109,536",19.80%,320
82 St-Jackson Hts (7),,Q,"5,089,971","5,018,542","4,741,470","4,893,865","2,297,896","3,182,336","884,440",38.50%,54
85 St-Forest Pkwy (J),,Q,"1,237,770","1,156,600","1,063,133","1,061,293","546,685","632,887","86,202",15.80%,327
88 St (A),,Q,"952,251","880,776","855,851","853,110","384,745","430,498","45,753",11.90%,378
90 St-Elmhurst Av (7),,Q,"5,471,961","5,460,868","5,245,160","5,272,683","2,661,934","3,299,515","637,581",24.00%,51
Aqueduct Racetrack (A),,Q,"676,971","641,464","732,091","601,436","168,737","234,571","65,834",39.00%,411
Aqueduct-North Conduit Av (A),,Q,"342,494","309,029","276,067","263,422","107,146","125,407","18,261",17.00%,417
"Astoria Blvd (N,W)",56,Q,"3,894,399","3,988,480","4,226,298","723,354","1,053,976","1,582,181","528,205",50.10%,152
"Astoria-Ditmars Blvd (N,W)",,Q,"5,429,314","5,031,462","4,543,854","5,277,341","1,996,236","2,280,654","284,418",14.20%,88
"Beach 105 St (A,S)",,Q,"95,469","97,654","92,852","88,439","37,750","41,437","3,687",9.80%,422
Beach 25 St (A),,Q,"601,116","582,975","543,839","517,164","258,136","267,817","9,681",3.80%,408
Beach 36 St (A),,Q,"305,816","298,395","275,165","292,305","149,257","155,722","6,465",4.30%,415
Beach 44 St (A),,Q,"212,440","214,473","216,609","215,701","109,448","111,217","1,769",1.60%,419
Beach 60 St (A),,Q,"794,595","726,189","630,038","623,826","313,416","312,493",-923,-0.30%,401
Beach 67 St-Arverne By The Sea (A),,Q,"811,248","792,444","669,421","718,008","366,760","383,966","17,206",4.70%,390
"Beach 90 St (A,S)",,Q,"335,515","411,887","382,766","348,771","129,188","148,147","18,959",14.70%,416
"Beach 98 St (A,S)",,Q,"203,795","180,588","154,620","164,130","63,297","71,935","8,638",13.60%,421
"Briarwood-Van Wyck Blvd (E,F)",,Q,"1,515,926","1,489,396","1,462,744","1,501,152","627,403","742,983","115,580",18.40%,299
"Broad Channel (A,S)",,Q,"91,208","87,774","82,248","90,358","35,837","39,981","4,144",11.60%,423
"Broadway (N,W)",57,Q,"4,189,306","4,060,805","2,436,810","3,038,655","1,463,280","1,809,540","346,260",23.70%,127
"Court Sq (E,G,M,7)",,Q,"6,809,217","7,003,218","7,218,939","7,033,377","2,368,959","2,830,854","461,895",19.50%,64
"Elmhurst Av (M,R)",,Q,"4,268,747","4,039,686","3,898,046","3,867,341","1,706,575","2,047,952","341,377",20.00%,106
Far Rockaway-Mott Av (A),,Q,"1,572,694","1,472,005","1,376,087","1,347,765","709,394","715,676","6,282",0.90%,306
Flushing-Main St (7),,Q,"19,257,879","18,746,832","17,799,862","17,568,837","6,944,923","9,206,396","2,261,473",32.60%,9
Forest Av (M),58,Q,"1,316,296","796,742","927,801","1,310,163","609,687","689,509","79,822",13.10%,312
"Forest Hills-71 Av (E,F,M,R)",,Q,"8,581,096","8,748,221","8,115,385","8,027,234","3,100,667","3,659,612","558,945",18.00%,42
Fresh Pond Rd (M),59,Q,"1,831,889","1,198,376","1,400,512","1,776,084","841,585","937,847","96,262",11.40%,253
"Grand Av-Newtown (M,R)",,Q,"6,057,028","5,792,378","5,713,827","5,730,846","2,394,479","2,932,966","538,487",22.50%,61
Howard Beach-JFK Airport (A),,Q,"1,012,067","1,123,405","1,154,695","1,171,303","325,750","457,932","132,182",40.60%,370
Hunters Point Av (7),,Q,"1,994,002","1,999,970","1,932,478","1,885,928","705,574","703,246","-2,328",-0.30%,308
"Jamaica Center-Parsons-Archer (E,J,Z)",,Q,"12,470,914","11,604,228","10,681,269","10,010,419","4,284,646","4,766,773","482,127",11.30%,26
Jamaica-179 St (F),,Q,"6,783,119","6,463,698","6,270,766","6,262,449","2,741,359","3,023,613","282,254",10.30%,58
Jamaica-Van Wyck (E),,Q,"1,536,716","1,555,962","1,502,672","1,412,179","807,093","777,620","-29,473",-3.70%,290
Junction Blvd (7),,Q,"7,249,912","7,084,849","6,896,657","6,883,317","3,622,647","4,656,086","1,033,439",28.50%,27
"Kew Gardens-Union Turnpike (E,F)",,Q,"8,109,611","7,811,007","7,680,149","7,625,674","3,054,242","3,508,016","453,774",14.90%,46
Mets-Willets Point (7),,Q,"2,004,343","1,873,789","1,756,825","2,025,162","311,888","1,034,620","722,732",231.70%,234
Middle Village-Metropolitan Av (M),60,Q,"1,365,048","875,782","954,875","1,090,449","514,007","612,324","98,317",19.10%,335
"Northern Blvd (M,R)",,Q,"2,264,100","2,140,551","2,097,374","2,008,091","902,165","1,067,116","164,951",18.30%,228
Ozone Park-Lefferts Blvd (A),,Q,"2,351,557","2,306,419","2,296,755","2,216,647","1,019,115","1,076,417","57,302",5.60%,224
Parsons Blvd (F),,Q,"2,063,042","1,998,650","2,003,517","2,086,114","1,089,861","1,133,530","43,669",4.00%,209
"Queens Plaza (E,M,R)",,Q,"3,124,028","3,374,948","3,886,574","4,334,290","1,422,188","1,691,730","269,542",19.00%,140
"Queensboro Plaza (N,W,7)",,Q,"4,105,500","4,566,287","5,079,051","5,018,211","1,790,223","2,225,527","435,304",24.30%,92
Rockaway Blvd (A),0,Q,"2,382,252","2,371,645","2,336,304","2,299,903","1,040,869","1,196,776","155,907",15.00%,202
"Rockaway Park-Beach 116 St (A,S)",,Q,"250,220","235,691","240,483","228,144","110,133","109,098","-1,035",-0.90%,420
Seneca Av (M),61,Q,"854,251","454,373","565,714","1,080,829","474,806","466,641","-8,165",-1.70%,367
"Steinway St. (M,R)",,Q,"4,703,321","4,733,777","5,075,623","4,715,335","1,768,131","2,110,765","342,634",19.40%,103
Sutphin Blvd (F),,Q,"1,414,334","1,338,831","1,303,795","1,345,420","702,013","707,596","5,583",0.80%,307
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,Q,"7,904,869","7,457,153","7,282,128","7,354,064","2,951,061","3,799,692","848,631",28.80%,38
Vernon Blvd-Jackson Av (7),,Q,"4,877,185","4,821,191","4,493,326","4,623,070","1,768,317","2,189,038","420,721",23.80%,94
"Woodhaven Blvd (J,Z)",,Q,"1,513,298","1,512,676","1,370,889","1,337,787","681,796","753,419","71,623",10.50%,296
"Woodhaven Blvd (M,R)",,Q,"7,144,921","6,871,409","6,509,386","6,381,132","2,634,483","3,302,348","667,865",25.40%,49
Woodside-61 St (7),,Q,"5,511,564","5,457,171","5,282,486","5,345,369","2,391,083","3,037,602","646,519",27.00%,57
Brooklyn,,,"384,540,220","379,372,550","370,231,302","370,545,959","153,292,738","183,587,543","30,294,805",19.80%,
Bronx,,,"153,079,012","149,220,838","139,238,932","138,381,037","65,662,311","72,920,734","7,258,423",11.10%,
Manhattan,,,"966,394,667","955,572,737","936,516,980","952,710,327","319,882,176","381,549,651","61,667,475",19.30%,
Queens,,,"252,780,951","243,113,483","234,085,767","236,149,679","100,703,801","121,918,793","21,214,992",21.10%,
Systemwide Adjustment,,,"19,950","86,999","-12,579",,,,0,,
System Total,,,"1,756,814,800","1,727,366,607","1,680,060,402","1,697,787,002","639,541,025","759,976,721","120,435,696",18.80%,
