Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank
Mt Eden Av (4),,Bx,"1,824,478","1,708,790","1,652,407","1,551,038","823,443","904,701","81,258",9.90%,259
"Nereid Av (2,5)",,Bx,"1,131,328","1,085,289","1,034,335","1,006,617","470,230","538,907","68,677",14.60%,350
Norwood-205 St (D),,Bx,"2,805,984","2,723,506","2,611,874","2,639,003","1,315,356","1,366,801","51,445",3.90%,180
Parkchester (6),,Bx,"5,201,901","5,071,740","4,836,244","4,734,709","2,205,552","2,409,332","203,780",9.20%,82
Pelham Bay Park (6),,Bx,"2,208,725","2,207,720","2,146,552","2,134,403","951,324","1,011,530","60,206",6.30%,238
"Pelham Pkwy (2,5)",,Bx,"2,955,589","2,849,210","2,639,586","2,651,208","1,222,206","1,427,443","205,237",16.80%,171
Pelham Pkwy (5),,Bx,"897,374","869,177","844,884","896,134","405,004","447,473","42,469",10.50%,372
"Prospect Av (2,5)",,Bx,"2,513,169","2,413,743","2,142,697","2,148,059","1,021,781","1,125,530","103,749",10.20%,211
"Simpson St (2,5)",,Bx,"3,046,838","2,965,807","2,585,974","2,602,749","1,230,833","1,385,438","154,605",12.60%,176
St. Lawrence Ave. (6),,Bx,"1,329,758","1,334,387","1,273,609","1,276,865","641,826","699,851","58,025",9.00%,309
"Tremont Av (B,D)",,Bx,"3,213,396","3,154,608","3,246,064","3,052,099","1,433,744","1,518,048","84,304",5.90%,162
Van Cortlandt Park-242 St (1),,Bx,"2,294,482","2,249,314","2,333,136","2,189,109","980,836","1,111,670","130,834",13.30%,215
Wakefield-241 St (2),,Bx,"1,662,337","1,578,125","1,484,478","1,404,748","711,029","773,321","62,292",8.80%,291
"West Farms Sq-East Tremont Av (2,5)",,Bx,"2,465,907","2,388,659","2,094,751","2,104,945","947,252","1,072,113","124,861",13.20%,225
Westchester Sq-East Tremont Av (6),,Bx,"1,952,473","1,917,007","1,817,925","1,796,415","835,515","929,707","94,192",11.30%,255
Whitlock Av (6),,Bx,"571,352","595,385","592,103","586,845","308,198","331,929","23,731",7.70%,399
Woodlawn (4),,Bx,"2,380,900","2,242,100","2,160,859","2,094,285","949,554","1,112,041","162,487",17.10%,214
Zerega Av (6),0,Bx,"784,314","799,739","792,928","795,756","361,499","401,426","39,927",11.00%,386
"15 St-Prospect Park (F,G)",,B,"1,958,444","1,917,454","1,867,619","1,964,534","681,492","861,654","180,162",26.40%,270
18 Av (D),,B,"2,003,777","1,948,610","1,909,554","1,942,617","851,720","953,937","102,217",12.00%,250
18 Av (F),,B,"1,344,286","1,281,041","1,163,390","1,113,492","503,136","556,981","53,845",10.70%,346
18 Av (N),7,B,"723,187","992,834","981,261","1,179,756","677,764","895,072","217,308",32.10%,263
20 Av (D),,B,"1,656,437","1,579,804","1,534,396","1,578,971","703,957","780,372","76,415",10.90%,289
20 Av (N),8,B,"409,416","664,120","1,075,077","1,142,086","486,218","627,481","141,263",29.10%,329
25 Av (D),,B,"1,992,945","1,789,365","1,571,134","1,507,759","609,450","671,478","62,028",10.20%,318
25 St (R),,B,"1,188,884","1,373,521","1,149,469","1,153,842","504,579","632,081","127,502",25.30%,328
"36 St (D,N,R)",,B,"4,235,509","4,543,305","4,293,364","4,254,406","1,924,520","2,410,423","485,903",25.20%,81
"4 Av (F,G)/9 St (R)",,B,"4,138,758","4,323,467","3,906,028","3,924,882","1,531,708","1,946,762","415,054",27.10%,115
45 St (R),,B,"2,228,315","2,390,684","2,251,921","2,461,410","1,081,234","1,357,398","276,164",25.50%,182
50 St (D),,B,"1,012,356","986,060","965,643","976,988","521,944","589,552","67,608",13.00%,338
53 St (R),9,B,"2,334,471","1,187,907","2,378,056","2,797,730","1,368,019","1,603,169","235,150",17.20%,148
55 St (D),,B,"665,488","632,198","650,590","637,405","330,043","363,734","33,691",10.20%,396
"59 St (N,R)",,B,"4,169,280","5,326,789","3,998,207","3,664,480","1,631,566","2,190,023","558,457",34.20%,93
"7 Av (B,Q)",,B,"2,943,272","3,236,816","3,126,475","3,103,599","1,007,948","1,382,641","374,693",37.20%,177
